Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $447.64/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,,
0xa6b8c289f1d32264d822fb84d6a0154f859329789212766e6393ddce9e4b578e,16460352,1648494225,28-03-2022 19:03,0x12c5e4c6c723344f883cf32bb27f383263c63d6f,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.43,0,192.4852,0.000300965,0.134723973,430.15,,,Swap,,
0xb065539787835a62b66672926c705a228c515064d08c0aced7da301a98c4e436,16460355,1648494234,28-03-2022 19:03,0x7fc3142e1012fbaeba9d3e076258b7911f38f826,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.7,0,313.348,0.000450965,0.201869973,430.15,,,Swap,,
0xdb3d63902d838e62661ebaae02f33c5d2b289a2caa875cd9e209581322bde14f,16460355,1648494234,28-03-2022 19:03,0xa56afa9ba6220e86ed1f006c08da63b6412ef5a9,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.12,0,53.7168,0.000450965,0.201869973,430.15,,,Swap,,
0x511de56f60a3bf528c883f6b321b8af0cb571ae636c7163815f59ee501a035ff,16460373,1648494288,28-03-2022 19:04,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.00052922,0.236900041,430.15,,,Add To Whitelist,,
0x6c79bc20e6334ccfac593be850e859aea7b1cdffb0df3d3f6a92242baaa29d64,16460394,1648494351,28-03-2022 19:05,0x7136289ea9ca727f3ef6e14e453a45786609625d,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.4,0,179.056,0.000450965,0.201869973,430.15,,,Swap,,
0x064672d8b8bcfc8cca62badb059fac843fc1868add709a69301aaff8df2b0517,16460415,1648494414,28-03-2022 19:06,0x46c3c60c7419b6217a278e55651675f72a8022ca,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000450965,0.201869973,430.15,,,Swap,,
0x65197910cf682161e944e88a93fccd2163727a9bb6b13e97fd1f226d7fec6678,16460417,1648494420,28-03-2022 19:07,0x7ba860b3750881a4e62c36782de0ce94d439128b,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000450965,0.201869973,430.15,,,Swap,,
0x429965f27b68f57c68bd93343c51c10f08d72ff9089552166e276be41b1684fa,16460428,1648494453,28-03-2022 19:07,0x0de49a0983190d1feadc8ff5db8e3ed7c7f61914,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.5,0,223.82,0.000450965,0.201869973,430.15,,,Swap,,
0x5cf7159e77e129232ccbd27f3faa408ac4bb72dcef609530327116b6a60102c5,16460448,1648494513,28-03-2022 19:08,0xa9fe021712ff0f109a1659e74a208d2e7fd121dc,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.35,0,156.674,0.000450965,0.201869973,430.15,,,Swap,,
0xf54d7c1071921d4399588f53eafbf246d0dcc5f7e0e341b15a54a60b9efd5942,16460452,1648494525,28-03-2022 19:08,0xc3af74f2c4384876671a6199b28d042af0870215,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.5,0,223.82,0.000450965,0.201869973,430.15,,,Swap,,
0x84c19e82d16eb40af936fdd00f5d8b7debaf1e9d82cb9082a74fc70f4ff08d0f,16460462,1648494555,28-03-2022 19:09,0xe0fa776d8e2a7a58130d97ced92966ecc4ddef49,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.000450965,0.201869973,430.15,,,Swap,,
0x60aa5c18fc7f050457fdef18451f4a2778dd8bbbe86b6fa0422ce765430f7806,16460463,1648494558,28-03-2022 19:09,0x0de49a0983190d1feadc8ff5db8e3ed7c7f61914,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,1,0,447.64,0.000300965,0.134723973,430.15,,,Swap,,
0xc4354d85c3607e6cd5b5e2fa29d0ee159db964b17aee958f6f09604d5f2ccdbf,16460465,1648494564,28-03-2022 19:09,0x5bdff1c1b3d19e368578b921277a91dd2f7ff30c,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.5,0,223.82,0.000450965,0.201869973,430.15,,,Swap,,
0x0ed07697f2d3eb45a930cf2567339187c13dded34ed18e82daf6893214ae8b23,16460466,1648494567,28-03-2022 19:09,0x665b11dbec10da8d809da6d5bd6c3da68adab0e7,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.5,0,223.82,0.000450965,0.201869973,430.15,,,Swap,,
0x21d201a20bd97613548be5b452895b1661962df767da1b9c96bc00aabc5e45d3,16460468,1648494573,28-03-2022 19:09,0xb46d52d4ede720b9e870e92c902be6a896979f4f,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,2,0,895.28,0.000450965,0.201869973,430.15,,,Swap,,
0x0453d91a11e78316f62942241b51c46e49f45f37693628c9509e94fa890d70c5,16460468,1648494573,28-03-2022 19:09,0x04366ad174c649f50dd5994900de30d27b67fd51,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,1.3,0,581.932,0.000450965,0.201869973,430.15,,,Swap,,
0xa4517cc63f646ae46301206081f7d522125fce3a596be62fa383ba2eff0aac3f,16460477,1648494600,28-03-2022 19:10,0xa708f59e47cc43fd7d465416887cd59e9f69aa75,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,1,0,447.64,0.000450965,0.201869973,430.15,,,Swap,,
0x713f60f55a4f12f30962151ba6b2bfeb53eba912a661908d19cdfc11f32a79a2,16460485,1648494624,28-03-2022 19:10,0x2a38960e577939e0c52d154079a8c4f443a1f6cd,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.13,0,58.1932,0.00013281,0.059451068,430.15,Error(0),execution reverted,Swap,,
0x69e7f146fac69af346df7a6c6244b56c94bc10b318a7ee9d181e3bec234fffa2,16460487,1648494630,28-03-2022 19:10,0x3a7c1fe8e7646e35c24fbf18ea0ec5eb0cfc9007,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.3,0,134.292,0.000450965,0.201869973,430.15,,,Swap,,
0x3799165c87e602c92ccf099e0d04e393e438eb657e123a64a8a800adf3a91fc3,16460487,1648494630,28-03-2022 19:10,0x64336c47783acaab0e909dde629a9debc628d247,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.00013281,0.059451068,430.15,Error(0),execution reverted,Swap,,
0xcae3728875acba77143e6e01b13a58e616c0d5332cbf183a60a4d2cbfd6139f0,16460491,1648494642,28-03-2022 19:10,0x73be979760466b4f874ed795eaef749869328c15,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.29,0,129.8156,0.000450965,0.201869973,430.15,,,Swap,,
0x7ee5e9374aba880614f9336dd531d72a4102d00639f832dab361f35727776ae5,16460529,1648494756,28-03-2022 19:12,0xc08288375c7130374550c0c44a73961eb28f5555,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000450965,0.201869973,430.15,,,Swap,,
0xfe439836080993c791f5278b12b36477f2c32c985b32e81d8e2d2287a26307c4,16460536,1648494777,28-03-2022 19:12,0x5c5220e27824e5c3fbd6e691d8a5e67404588c2c,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000450965,0.201869973,430.15,,,Swap,,
0x444d94dee46cefd1dc02eece4a62ab0dcdc73d12694197db5b0ed0668b9b0441,16460552,1648494825,28-03-2022 19:13,0x79c1c98d60c09effa32fc8260a185981bc025cfe,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000450965,0.201869973,430.15,,,Swap,,
0x145a29a2aa3cf3e6e6de7445d7bf6a51966fd047b7ced8607da6f7af17390aac,16460580,1648494909,28-03-2022 19:15,0xfb9ab56a9974bf0d1a91aea8e6b9e42cfc9bc3e0,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.000450965,0.201869973,430.15,,,Swap,,
0xb85b3cbf4d81e517e48e51dd03a8cf1ac1b4f940f1b8d7dc4dc1ff1b6b0a25d0,16460607,1648494990,28-03-2022 19:16,0x226c8d1a6ec91d86892ac6e7bb99f324aa80e7cf,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.53,0,237.2492,0.000450965,0.201869973,430.15,,,Swap,,
0xef10ad02af923aa0d7508590388233a9ad1265c815ccd966df0d37724ab7f10c,16460611,1648495002,28-03-2022 19:16,0xd344ad9ab476320a1af264506a9ff0e76240fbda,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000450965,0.201869973,430.15,,,Swap,,
0x556eccdc3f8268ac8c50428ba45220d8ab72af2b493cc428b74a80607c62f9db,16460619,1648495026,28-03-2022 19:17,0x6915c48be16d5ce7ba9f42c7c9d9f47f4722a4eb,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,1,0,447.64,0.000450965,0.201869973,430.15,,,Swap,,
0x12d8654b3330d78310967624e26890de92492d229404c2111dbacb86241be7f6,16460660,1648495149,28-03-2022 19:19,0x5bdff1c1b3d19e368578b921277a91dd2f7ff30c,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,2,0,895.28,0.000300965,0.134723973,430.15,,,Swap,,
0x5a8a321a2dd05442d695d6bb85868adc6dc243d453da6e9d8e18fb3ce9cf37a6,16460686,1648495227,28-03-2022 19:20,0x64336c47783acaab0e909dde629a9debc628d247,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.00013281,0.059451068,430.15,Error(0),execution reverted,Swap,,
0xf5a9f733dc73ac2536fad42eb3fdf9a7bb922279812e7a15e174468e9392cdd3,16460722,1648495335,28-03-2022 19:22,0x64336c47783acaab0e909dde629a9debc628d247,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.000159372,0.071341282,430.15,Error(0),execution reverted,Swap,,
0x68861ed4d19ca5ed26a3bcbce38ac92dcce8cff4795f6e6e0b4d92d24ba30ab4,16460738,1648495383,28-03-2022 19:23,0xba89e424d003be75529d7f658a605d9510af3b64,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,1,0,447.64,0.000450965,0.201869973,430.15,,,Swap,,
0x85dfbf0a80c47e0ae9f500d944e02d302c560b16818a5087475e896d5ea06776,16460833,1648495668,28-03-2022 19:27,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.000153515,0.068719455,430.15,,,Switch To Public Presale,,
0x3e6903732bfc4422136e60c94ba5ba022150f345f584f0c14879e6cc508465a2,16460846,1648495707,28-03-2022 19:28,0x56a8cb1d72127c02ada0bfb50d59ce1cd973c467,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,2,0,895.28,0.00044657,0.199902595,430.15,,,Swap,,
0x2705da89aba0fa36197f91c0ba62e86882cc6a8a2011ab8877188dc1b0df12cc,16460854,1648495731,28-03-2022 19:28,0x206d15c1e1b302a8da05e71f449f9bc231925672,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.95,0,425.258,0.00044657,0.199902595,430.15,,,Swap,,
0x6596f5dff9739fd5bdcd6a966025cdec7857b51f474afad6d1c2ece9e73a913f,16460875,1648495794,28-03-2022 19:29,0xd676b495e0a18cf004df5706c73463de48509b34,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,2,0,895.28,0.00044657,0.199902595,430.15,,,Swap,,
0xbc8e0aee8fca567e7c14e26580c9ded7cd3111cebbb3414431f65d50bb74e4ab,16460878,1648495803,28-03-2022 19:30,0x69215121cecea39cbf5b47be8c19b75510422a4b,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.46,0,205.9144,0.00044657,0.199902595,430.15,,,Swap,,
0x39656b092327a63e87484e244c6f2e33c1963c62f780df1ba74371ca1669166e,16460879,1648495806,28-03-2022 19:30,0xb0258a278fbabb64f8747fb305df451fa93eccf9,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.00044657,0.199902595,430.15,,,Swap,,
0x0d99e2b3f436f33a71c416a63710519862807a6c1b676ec900dca33f6c8ba015,16460879,1648495806,28-03-2022 19:30,0xcae2f947e9d91a8fc85375a1a6cead4b49dc3751,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,1,0,447.64,0.00044657,0.199902595,430.15,,,Swap,,
0x30d0381cdc41d6634baf6d21ad28ff0cf07115e3900f7d3b1c365beebc85e927,16460882,1648495815,28-03-2022 19:30,0xda06e832a4df451693b9c05fab7841836eb0ee06,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.00044657,0.199902595,430.15,,,Swap,,
0x77b88425085942e87d56b28bf5f509600f8a654c64428e530d9365b64fde502a,16460884,1648495821,28-03-2022 19:30,0xe2f4f3f140ffd1303968d91187dc765da4de79d4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.00044657,0.199902595,430.15,,,Swap,,
0x355c37bc7af466577a22244c08cb0901fcfaef14b9997cebea9193b5718a159b,16460886,1648495827,28-03-2022 19:30,0x64336c47783acaab0e909dde629a9debc628d247,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.00044657,0.199902595,430.15,,,Swap,,
0x44b1f5c3d9bf5238982055d7dcbc3488d08fcab2ea075eb3ed74e8b9c582f042,16460887,1648495830,28-03-2022 19:30,0x2a38960e577939e0c52d154079a8c4f443a1f6cd,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.00044657,0.199902595,430.15,,,Swap,,
0xcd41f099cdcab12d6e4a0243e3342f550a3623354be7ecd34e680b7beded9f1b,16460897,1648495860,28-03-2022 19:31,0xbf9f8d168f51a56cfcd172de5ccd8a709c109924,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.00044657,0.199902595,430.15,,,Swap,,
0xced75a668d9375d14638805d9c2b6c35961f9f8dd20049ee387bd1b41416a5a5,16460899,1648495866,28-03-2022 19:31,0xdd485999e24368ed690d2dbd241ffa53f8136cea,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.22,0,98.4808,0.00044657,0.199902595,430.15,,,Swap,,
0x4df3d3bbebdf639f37423101a19a27666eac3b4fb7073433870348650af21a54,16460899,1648495866,28-03-2022 19:31,0x6e063fb5fe25f371e059a4f2352e120a64980844,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.00044657,0.199902595,430.15,,,Swap,,
0x49ed7e39c4b18969b9ed8d3c1b153e35c831a70a406cbde2a32535899dabd964,16460907,1648495890,28-03-2022 19:31,0xe2b9dc27aaa6af9968b833ee1e74e9c16e5ecb86,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.00044657,0.199902595,430.15,,,Swap,,
0xe08626ac3d5ccbaa66105372263902faea0d5cb5076b3d3838afdf5b02acc073,16460911,1648495902,28-03-2022 19:31,0x5fb383687b7a481d4f2545b66fecad48075f8285,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.00044657,0.199902595,430.15,,,Swap,,
0xf8bdf33ef5b0a6856f1400698d6f662fca0019601b68fb933da361eb4eaa77ff,16460923,1648495938,28-03-2022 19:32,0x90f9d05ba8becb789d624396ac660118867e5b44,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.23,0,102.9572,0.00044657,0.199902595,430.15,,,Swap,,
0x712cab2c821b43f8bd3a5137d87a9a5d190e12af62e2d779640550f5f8dff99b,16460929,1648495956,28-03-2022 19:32,0x454388e569cee12a60517095a150022c86e8e190,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,2.4,0,1074.336,0.00044657,0.199902595,430.15,,,Swap,,
0xf87bf2f7f336256e4c76344419448e1c081e4fad2a2a7cc7a4f703e8c0562e2f,16460938,1648495983,28-03-2022 19:33,0x649799ec70421fc37bb870441a7371615a6938c7,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.11,0,49.2404,0.00044657,0.199902595,430.15,,,Swap,,
0x62cd83d4f91fdceeb8e5ebfafdb0cef42e3f2af25f23b2757cf60f535f2b46d0,16460943,1648495998,28-03-2022 19:33,0x1797ec88024ce48c7e2e1580abfcb2add0874019,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.23,0,102.9572,0.00044657,0.199902595,430.15,,,Swap,,
0x626783cbf9cdbe6e007addf8660085fc7dda55adb925c5b03fb67207a3028367,16460970,1648496079,28-03-2022 19:34,0x9ce9f6c1b2401fbfe1c24286e5f8a37544437baa,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.00044657,0.199902595,430.15,,,Swap,,
0x9d8271bd549e3e638bbc73b14b99d113e3276db5e20d187b97aa044b222980a7,16461011,1648496202,28-03-2022 19:36,0x66851b70067f8d1bd97d4c6c2eae1e948ca682f1,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.15,0,67.146,0.00044657,0.199902595,430.15,,,Swap,,
0x28735d81c1d01f9d1660711b95aa2709d76fdc62328fc4c0c9e231ac9a59ba8e,16461015,1648496214,28-03-2022 19:36,0xa9fe021712ff0f109a1659e74a208d2e7fd121dc,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.4,0,179.056,0.00029657,0.132756595,430.15,,,Swap,,
0xcf6100ea65ed824db2427264c79d6e7b3f2ae360a4a7020a210184ec154c7acc,16461021,1648496232,28-03-2022 19:37,0x4d3710c2b23d03abc73bb229f15dd99e8ecde619,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.1,0,44.764,0.00044657,0.199902595,430.15,,,Swap,,
0xf469a623d850bcec13163ccfb88da2882d4f2e4a42a988f6a3042b4f106bb17a,16461044,1648496301,28-03-2022 19:38,0x69215121cecea39cbf5b47be8c19b75510422a4b,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.15,0,67.146,0.00029657,0.132756595,430.15,,,Swap,,
0xf9f791f63cfcb6b9f800e380f678d344cff29e71e23bd549ba268b5ba3007810,16461053,1648496328,28-03-2022 19:38,0xaa7db76daa94638f91d4f8a3311b064a4699a563,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.3,0,134.292,0.00044657,0.199902595,430.15,,,Swap,,
0xe75591d1695986b002c9b07a439e81570dc77a64e4e2ee55e65d53813e064777,16461056,1648496337,28-03-2022 19:38,0x04568b8dab9db78f3c34457d92b6d52753c4eb7a,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.29,0,129.8156,0.00044657,0.199902595,430.15,,,Swap,,
0x87d1861572fcf3a9dbf8a91ba65102788371f7ae1335b507cd4c3d3ab43af444,16461180,1648496709,28-03-2022 19:45,0x2fd56ded84f5fc1e3d6b4f1465cdd124ad59014d,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.22,0,98.4808,0.00044657,0.199902595,430.15,,,Swap,,
0x5da02c61dbec85a6e5c81eda3928b0b2af5ce191ef08d0c6a2d82735cc2c5acb,16461230,1648496859,28-03-2022 19:47,0xf9dc8bb8aa72bf1ff3b466c7a732642b6320d7a4,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0,0,0,0.0001413,0.063251532,430.15,,,Extend Presale,,
0x8fe2ef362dc3130eefdc09d1bb6d99e443ce473f41b1f6c93c8f68ea51442409,16461312,1648497105,28-03-2022 19:51,0xbace2df618cd21904ebb0780f5925d04acf856a0,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.2,0,89.528,0.00044657,0.199902595,430.15,,,Swap,,
0xec9c1add362219e81397a97df109526377ba3a43c5e7095c044010a524b344ee,16461428,1648497453,28-03-2022 19:57,0x5bdff1c1b3d19e368578b921277a91dd2f7ff30c,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,0.5,0,223.82,0.00029657,0.132756595,430.15,,,Swap,,
0x9a903b84bea0b85da0afd01ad7dcc6c563c0dcf7641432315fb4a2387cfe55b5,16461510,1648497699,28-03-2022 20:01,0xcd26141c9ef3551954267bc92ebbe173b5774dec,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,2,0,895.28,0.00044657,0.199902595,430.15,,,Swap,,
0xc33401d75e9d14a6bec51e796c505960f449f59b5ef5fb48fec4e8b056f942ad,16461534,1648497771,28-03-2022 20:02,0x0ad696144b3e171dd87da86e2e184be0c6511418,0x0eb16919ef15de9ec1d9e4371aa1fb7da4bed75f,,3,0,1342.92,0.00044657,0.199902595,430.15,,,Swap,,
